23/02/2018 12:25:41 PM SIDDHESH-PC COMFLEX\1150 iisexpress 19  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - step-7
23/02/2018 12:33:15 PM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.nLoggerMsg(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:19) ERROR - Object reference not set to an instance of an object.
23/02/2018 12:34:38 PM SIDDHESH-PC COMFLEX\1150 iisexpress 10  NVAPI.Nlogger.nLoggerMsg(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:19) ERROR - Object reference not set to an instance of an object.
23/02/2018 12:36:18 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.nLoggerMsg(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:19) ERROR - Object reference not set to an instance of an object.
23/02/2018 12:37:25 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.nLoggerMsg(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:19) ERROR - Object reference not set to an instance of an object.
23/02/2018 03:27:19 PM SIDDHESH-PC COMFLEX\1150 iisexpress 10  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ucnl5m4zyubn1bgroz1vzerv | FirstName : siddhesh
23/02/2018 03:41:36 PM SIDDHESH-PC COMFLEX\1150 iisexpress 23  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ucnl5m4zyubn1bgroz1vzerv | FirstName : siddhesh
23/02/2018 04:07:27 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ucnl5m4zyubn1bgroz1vzerv | FirstName : siddh
23/02/2018 04:08:43 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ucnl5m4zyubn1bgroz1vzerv | FirstName : jay
23/02/2018 04:10:48 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ucnl5m4zyubn1bgroz1vzerv | FirstName : sidshesh
23/02/2018 04:43:04 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :imd3jduywrx2jk0vfrcvp5ju | FirstName : siddhesh
23/02/2018 04:45:22 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ckpewi4dh3udtzktu0gpb5qy | FirstName : siddhesh
23/02/2018 04:49:03 PM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :qsiummgjjskccebycge13ujc | FirstName : siddhesh
23/02/2018 05:24:07 PM SIDDHESH-PC COMFLEX\1150 iisexpress 24  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :f2kchegwtsojkqqkgmnsl3ag | FirstName : siddhesh
23/02/2018 05:26:12 PM SIDDHESH-PC COMFLEX\1150 iisexpress 26  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ar4ceihpwr21or00dttzgxnh | FirstName : siddhesh
23/02/2018 05:28:21 PM SIDDHESH-PC COMFLEX\1150 iisexpress 28  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ckp2ztsefcqmmqdkuuwoh1zh | FirstName : siddhesh
23/02/2018 05:29:56 PM SIDDHESH-PC COMFLEX\1150 iisexpress 28  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :0kfom0kdvnf5fiz1p0pexdyn | FirstName : siddhesh
23/02/2018 05:31:16 PM SIDDHESH-PC COMFLEX\1150 iisexpress 23  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :rv2h0bvkt0yb5kr24l4x4n05 | FirstName : siddhesh
23/02/2018 05:32:01 PM SIDDHESH-PC COMFLEX\1150 iisexpress 21  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :akixvwopmpnuivsmq52yce5h | FirstName : siddhesh
23/02/2018 05:54:18 PM SIDDHESH-PC COMFLEX\1150 iisexpress 10  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :hkylbqrs0mezba2wyovvvy14 | FirstName : SIDDHESH
23/02/2018 06:18:01 PM SIDDHESH-PC COMFLEX\1150 iisexpress 17  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :5rkgstq2vmhpytli1lrd5bvi | FirstName : siddhesh
23/02/2018 06:25:45 PM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :qc2lyuwf23kixod3ofk0vtzb | FirstName : siddhesh
