24/02/2018 10:58:11 AM SIDDHESH-PC COMFLEX\1150 iisexpress 12  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :1vvnhib5s1t0iyx2ruyzt52k | FirstName : test
24/02/2018 10:58:40 AM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :ygxxszgmwl52telurydmggan | FirstName : testhasti
24/02/2018 11:02:08 AM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :vr3ba3dqhi4mszdettuesupf | FirstName : Siddhesh
24/02/2018 11:02:35 AM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :kblmwk23pftmurdkdr33akwf | FirstName : Siddhesh
24/02/2018 11:02:56 AM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :oecv1tw4dpk2aynd3wfvbvue | FirstName : Siddhesh
24/02/2018 11:03:49 AM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :xcl04ttksipqmf1bpswewfcz | FirstName : Siddhesh
24/02/2018 11:04:15 AM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :b3e1d0nawwfqpqychc4zpj1h | FirstName : Siddhesh
24/02/2018 11:05:41 AM SIDDHESH-PC COMFLEX\1150 iisexpress 9   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :qsbe3qvcpz4vprzydxe5m3ng | FirstName : siddhesh
24/02/2018 11:08:38 AM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :eeyzthhphotqycrhxex3nbw2 | FirstName : hasti
24/02/2018 11:09:14 AM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :q5lo3zwfhsguzluhtjcbe4yq | FirstName : teste
24/02/2018 11:10:16 AM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :04rkmbiwomgxuyn5gwrhzceo | FirstName : hasti
24/02/2018 11:10:34 AM SIDDHESH-PC COMFLEX\1150 iisexpress 7   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :dvk4icf2arq0j4ilaq12cfwv | FirstName : siddhesh
24/02/2018 11:12:56 AM SIDDHESH-PC COMFLEX\1150 iisexpress 14  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :5zley1jfejmkq5tcdztwkb5o | FirstName : ashwini
24/02/2018 11:13:40 AM SIDDHESH-PC COMFLEX\1150 iisexpress 14  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :fisrdx5eekves5vawzm5j1vy | FirstName : Siddhesh
24/02/2018 11:15:20 AM SIDDHESH-PC COMFLEX\1150 iisexpress 14  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :rjr3smkwgiqbx2bw5q4wcftl | FirstName : hasti
24/02/2018 11:15:33 AM SIDDHESH-PC COMFLEX\1150 iisexpress 11  NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :n1makfjysyjet55inqwauy0e | FirstName : ashwini
24/02/2018 11:45:41 AM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :4mutygzyyxrsvmf3o01cebjs | FirstName : hasti
24/02/2018 11:51:45 AM SIDDHESH-PC COMFLEX\1150 iisexpress 8   NVAPI.Nlogger.DebugLogger(e:\TFS\NaamVidya\NV\NaamVidya\Nlogger.cs:24) DEBUG - SessionID :im2la0llytcw13ainmpbkywp | FirstName : test
